,shareCount
62759,3
62760,1
62761,197
62762,0
62763,2
62764,0
62765,0
62766,0
62767,27
62768,2
62769,0
62770,0
62771,0
62772,274
62773,1
62774,0
62775,84
62776,1
62777,31
62778,0
62779,1
62780,0
62781,0
62782,1037
62783,2
62784,0
62785,0
62786,0
62787,439
62788,0
62789,0
62790,13
62791,3
62792,1061
62793,0
62794,5
62795,681
62796,575
62797,0
62798,20
62799,0
62800,123
62801,1
62802,0
62803,1
62804,105
62805,57
62806,1
62807,44
62808,0
62809,0
62810,0
62811,286
62812,1
62813,338
62814,1791
62815,0
62816,1
62817,0
62818,75
62819,0
62820,74
62821,2
62822,739
62823,1
62824,442
62825,4
62826,0
62827,3542
62828,0
62829,4
62830,3
62831,10798
62832,3
62833,1
62834,45
62835,55
62836,0
62837,8
62838,0
62839,1
62840,354
62841,0
62842,15
62843,30
62844,2
62845,0
62846,1
62847,1
62848,12
62849,1
62850,2
62851,0
62852,57
62853,1
62854,1943
62855,4
62856,0
62857,0
62858,1
62859,0
62860,1
62861,0
62862,1
62863,1
62864,1
62865,9
62866,3
62867,0
62868,0
62869,2
62870,99
62871,0
62872,6
62873,1
62874,2
62875,36
62876,253
62877,0
62878,2
62879,0
62880,0
62881,0
62882,2101
62883,0
62884,0
62885,2
62886,8
62887,0
62888,2
62889,1
62890,0
62891,5
62892,0
62893,2
62894,0
62895,557
62896,2
62897,1
62898,0
62899,1
62900,2
62901,0
62902,1
62903,2
62904,4
62905,3
62906,1
62907,1
62908,2
62909,3
62910,1
62911,162
62912,1
62913,2
62914,1
62915,17
62916,0
62917,1
62918,760
62919,2
62920,3
62921,1040
62922,0
62923,0
62924,3
62925,244
62926,2
62927,2
62928,484
62929,18
62930,3
62931,0
62932,0
62933,1
62934,0
62935,2
62936,2
62937,1
62938,146
62939,0
62940,0
62941,5
62942,4
62943,5
62944,2
62945,0
62946,2
62947,1
62948,0
62949,4
62950,1
62951,0
62952,3
62953,0
62954,0
62955,0
62956,0
62957,1
62958,1
62959,1850
62960,13
62961,3
62962,1
62963,1
62964,1
62965,0
62966,3
62967,2
62968,2
62969,7
62970,343
62971,0
62972,2
62973,1
62974,12
62975,3
62976,5
62977,0
62978,4
62979,2
62980,4
62981,1
62982,1
62983,4
62984,8
62985,1
62986,2
62987,3
62988,1
62989,1
62990,2
62991,3
62992,0
62993,0
62994,2
62995,2
62996,3
62997,0
62998,2
62999,1
63000,5
63001,23
63002,0
63003,2
63004,1
63005,2
63006,9
63007,6
63008,2
63009,1
63010,1
63011,0
63012,2
63013,4
63014,2
63015,3
63016,3
63017,0
63018,1
63019,0
63020,2
63021,10
63022,9
63023,2
63024,0
63025,2
63026,22
63027,1
63028,0
63029,0
63030,1
63031,1
63032,5
63033,1
63034,0
63035,1
63036,2
63037,1
63038,3
63039,2
63040,6
63041,36
63042,5
63043,1
63044,6
63045,5
63046,1
63047,4
63048,6
63049,3
63050,40
63051,2
63052,2
63053,3
63054,79
63055,1
63056,0
63057,6
63058,6
63059,281
63060,2
63061,5
63062,9
63063,1
63064,4
63065,1
63066,1
63067,4
63068,18
63069,4
63070,5
63071,15
63072,10
63073,412
63074,5
63075,4
63076,4
63077,3
63078,4
63079,14
63080,9
63081,2
63082,5
63083,4
63084,6
63085,4
63086,6
63087,3
63088,1
63089,25
63090,1
63091,2
63092,1
63093,4
63094,2
63095,9
63096,1
63097,8
63098,1
63099,7
63100,2
63101,8
63102,4
63103,2
63104,20
63105,3
63106,3
63107,2
63108,9
63109,6
63110,5
63111,3
63112,5
63113,14
63114,4
63115,7
63116,2
63117,6
63118,1
63119,44
63120,4
63121,1
63122,14
63123,2
63124,15
63125,3
63126,2
63127,12
63128,1
63129,2
63130,11
63131,10
63132,3
63133,5
63134,9
63135,4
63136,2
63137,2
63138,3
63139,3
63140,2
63141,5
63142,4
63143,4
63144,3
63145,2
63146,3
63147,11
63148,0
63149,3
63150,2
63151,27
63152,1
63153,3
63154,0
63155,3
63156,0
63157,16
63158,4
63159,3
63160,3
63161,4
63162,20
63163,4
63164,5
63165,1
63166,9
63167,2
63168,4
63169,1
63170,0
63171,7
63172,0
63173,6
63174,6
63175,4
63176,1
63177,0
63178,0
63179,4
63180,8
63181,3
63182,4
63183,4
63184,5
63185,2
63186,3
63187,0
63188,10
63189,20
63190,4
63191,5
63192,2
63193,1
63194,3
63195,11
63196,6
63197,2
63198,1
63199,1
63200,0
63201,4
63202,2
63203,6
63204,18
63205,0
63206,1
63207,4
63208,2
63209,3
63210,1
63211,1
63212,1
63213,7
63214,1
63215,4
63216,3
63217,200
63218,0
63219,6
63220,11
63221,9
63222,3
63223,2
63224,14
63225,1
63226,3
63227,4
63228,2
63229,7
63230,4
63231,3
63232,3
63233,63
63234,4
63235,11
63236,1
63237,1
63238,3
63239,2
63240,0
63241,6
63242,17
63243,7
63244,5
63245,2
63246,3
63247,1
63248,23
63249,4
63250,5
63251,10
63252,4
63253,12
63254,8
63255,1
63256,14
63257,1
63258,3
63259,3
63260,1
63261,8
63262,2
63263,6
63264,9
63265,27
63266,1
63267,2
63268,10
63269,3
63270,1
63271,5
63272,3
63273,1
63274,1
63275,0
63276,8
63277,3
63278,5
63279,7
63280,10
63281,4
63282,1
63283,6
63284,1
63285,8
63286,3
63287,5
63288,12
63289,1
63290,11
63291,173
63292,3
63293,2
63294,18
63295,2
63296,7
63297,3
63298,2
63299,5
63300,5
63301,3
63302,1
63303,82
63304,4
63305,71
63306,1
63307,6
63308,7
63309,2
63310,2
63311,7
63312,25
63313,7
63314,3
63315,5
63316,3
63317,53
63318,87
63319,3
63320,3
63321,4
63322,2
63323,7
63324,1
63325,6
63326,205
63327,2
63328,3
63329,1
63330,2
63331,12
63332,109
63333,541
63334,2
63335,5
63336,65
63337,5
63338,0
63339,6
63340,35
63341,6
63342,10
63343,0
63344,3
63345,7
63346,38
63347,3
63348,4
63349,3
63350,29
63351,5
63352,11
63353,2
63354,0
63355,1
63356,4
63357,0
63358,3
63359,1
63360,1
63361,3
63362,7
63363,35
63364,1
63365,4
63366,1
63367,5
63368,171
63369,4
63370,0
63371,10
63372,1
63373,2
63374,71
63375,7
63376,3
63377,1
63378,1
63379,10
63380,1
63381,44
63382,3
63383,0
63384,5
63385,2
63386,0
63387,13
63388,1
63389,4
63390,1
63391,3
63392,8
63393,1
63394,39
63395,2
63396,3
63397,21
63398,2
63399,1
63400,3
63401,57
63402,3
63403,0
63404,5
63405,21
63406,1
63407,0
63408,1
63409,6
63410,5
63411,1
63412,5
63413,5
63414,1
63415,4
63416,2
63417,2
63418,67
63419,1
63420,7
63421,2
63422,4
63423,0
63424,0
63425,1
63426,0
63427,4
63428,1
63429,3
63430,2
63431,19
63432,4
63433,0
63434,1
63435,0
63436,3
63437,4
63438,4
63439,6
63440,1
63441,2
63442,1
63443,5
63444,1
63445,247
63446,2
63447,272
63448,3
63449,0
63450,98
63451,5
63452,7
63453,60
63454,6
63455,8
63456,4
63457,77
63458,15
63459,3
63460,3
63461,14
63462,8
63463,6
63464,57
63465,252
63466,17
63467,52
63468,3
63469,4
63470,4
63471,10
63472,1
63473,12
63474,5
63475,131
63476,6
63477,12
63478,11
63479,13
63480,4
63481,2
63482,49
63483,5
63484,471
63485,692
63486,3
63487,1
63488,6
63489,9
63490,317
63491,98
63492,2
63493,6194
63494,4
63495,14
63496,5
63497,9
63498,4
63499,2
63500,1
63501,6
63502,12
63503,2
63504,3
63505,10
63506,12
63507,5
63508,2
63509,1
63510,4
63511,2
63512,9
63513,4
63514,1
63515,3
63516,9
63517,3
63518,9
63519,0
63520,5
63521,24
63522,6
63523,3
63524,37
63525,3
63526,22
63527,0
63528,0
63529,0
63530,0
63531,0
63532,20
63533,3
63534,3
63535,2
63536,13
63537,6
63538,105
63539,62
63540,8
63541,57
63542,12
63543,4
63544,2
63545,7
63546,2
63547,2
63548,1
63549,0
63550,2
63551,3
63552,0
63553,0
63554,0
63555,2
63556,0
63557,0
63558,0
63559,1
63560,0
63561,0
63562,1
63563,1
63564,0
63565,0
63566,0
63567,0
63568,0
63569,1
63570,0
63571,0
63572,0
63573,1
63574,0
63575,0
63576,3
63577,4
63578,4
63579,2
63580,0
63581,1
63582,0
63583,1
63584,0
63585,1
63586,2
63587,73
63588,8
63589,9
63590,1
63591,7
63592,7
63593,11
63594,9
63595,4
63596,72
63597,17
63598,9
63599,4
63600,4
63601,3
63602,10
63603,15
63604,37
63605,0
63606,12
63607,4
63608,1
63609,2
63610,1
63611,9
63612,6
63613,3
63614,10
63615,5
63616,3
63617,10
63618,6
63619,10
63620,2
63621,13
63622,14
63623,5
63624,9
63625,8
63626,16
63627,4
63628,3
63629,3
63630,10
63631,3
63632,10
63633,2
63634,13
63635,8
63636,10
63637,4
63638,8
63639,12
63640,18
63641,6
63642,4
63643,10
63644,16
63645,5
63646,9
63647,28
63648,6
63649,13
63650,18
63651,6
63652,9
63653,16
63654,3
63655,6
63656,11
63657,16
63658,11
63659,12
63660,3
63661,19
63662,11
63663,10
63664,11
63665,11
63666,6
63667,7
63668,4
63669,11
63670,3
63671,5
63672,9
63673,12
63674,7
63675,18
63676,20
63677,21
63678,1
63679,8
63680,9
63681,11
63682,7
63683,30
63684,11
63685,25
63686,7
63687,47
63688,15
63689,21
63690,14
63691,16
63692,12
63693,10
63694,16
63695,24
63696,12
63697,5
63698,10
63699,25
63700,9
63701,9
63702,9
63703,18
63704,30
63705,9
63706,30
63707,17
63708,34
63709,26
63710,12
63711,10
63712,15
63713,15
63714,12
63715,9
63716,13
63717,19
63718,17
63719,14
63720,3
63721,17
63722,10
63723,18
63724,15
63725,9
63726,8
63727,5
63728,11
63729,3
63730,38
63731,19
63732,9
63733,20
63734,6
63735,9
63736,12
63737,51
63738,15
63739,24
63740,12
63741,11
63742,22
63743,10
63744,35
63745,15
63746,10
63747,23
63748,27
63749,11
63750,10
63751,19
63752,5
63753,14
63754,51
63755,36
63756,24
63757,1
63758,15
63759,7
63760,16
63761,5
63762,12
63763,6
63764,12
63765,12
63766,15
63767,23
63768,26
63769,11
63770,9
63771,17
63772,21
63773,9
63774,29
63775,11
63776,15
63777,20
63778,16
63779,21
63780,10
63781,17
63782,3
63783,25
63784,5
63785,22
63786,6
63787,7
63788,4
63789,21
63790,15
63791,13
63792,14
63793,26
63794,0
63795,11
63796,11
63797,29
63798,24
63799,18
63800,38
63801,16
63802,3
63803,16
63804,9
63805,18
63806,11
63807,12
63808,35
63809,9
63810,40
63811,14
63812,21
63813,4
63814,33
63815,21
63816,16
63817,24
63818,21
63819,23
63820,16
63821,14
63822,19
63823,26
63824,11
63825,20
63826,20
63827,21
63828,32
63829,41
63830,25
63831,25
63832,30
63833,20
63834,16
63835,15
63836,21
63837,38
63838,22
63839,23
63840,33
63841,64
63842,44
63843,25
63844,88
63845,23
63846,73
63847,25
63848,44
63849,29
63850,46
63851,16
63852,15
63853,45
63854,79
63855,31
63856,50
63857,26
63858,22
63859,10
63860,23
63861,21
63862,13
63863,25
63864,59
63865,31
63866,32
63867,40
63868,28
63869,20
63870,58
63871,33
63872,36
63873,29
63874,40
63875,32
63876,40
63877,50
63878,32
63879,53
63880,43
63881,40
63882,53
63883,53
63884,63
63885,49
63886,94
63887,19
63888,78
63889,86
63890,21
63891,750
63892,32
63893,9
63894,7
63895,6
63896,21
63897,26
63898,34
63899,14
63900,15
63901,14
63902,17
63903,9
63904,27
63905,22
63906,18
63907,9
63908,26
63909,20
63910,9
63911,44
63912,22
63913,17
63914,27
63915,27
63916,11
63917,25
63918,21
63919,35
63920,3
63921,8
63922,61
63923,10
63924,10
63925,31
63926,15
63927,17
63928,22
63929,6
63930,81
63931,11
63932,13
63933,12
63934,9
63935,5
63936,15
63937,17
63938,9
63939,221
63940,20
63941,14
63942,2
63943,5
63944,4
63945,4
63946,10
63947,24
63948,7
63949,5
63950,6
63951,6
63952,846
63953,5
63954,15
63955,2
63956,7
63957,5
63958,8
63959,10
63960,25
63961,20
63962,4
63963,3
63964,7
63965,0
63966,9
63967,8
63968,4
63969,1
63970,8
63971,3
63972,3
63973,2
63974,12
63975,9
63976,14
63977,4
63978,8
63979,4
63980,17
63981,11
63982,4
63983,13
63984,584
63985,8
63986,12
63987,10
63988,4
63989,36
63990,4
63991,19
63992,7
63993,6
63994,19
63995,10
63996,13
63997,15
63998,9
63999,3
64000,5
64001,1
64002,13
64003,5
64004,8
64005,6
64006,11
64007,7
64008,7
64009,5
64010,7
64011,4
64012,12
64013,15
64014,0
64015,12
64016,9
64017,3
64018,7
64019,10
64020,15
64021,2
64022,14
64023,9
64024,12
64025,29
64026,14
64027,7
64028,1
64029,4
64030,5
64031,13
64032,17
64033,10
64034,17
64035,5
64036,7
64037,11
64038,6
64039,7
64040,8
64041,4
64042,6
64043,9
64044,7
64045,8
64046,14
64047,7
64048,12
64049,12
64050,2
64051,16
64052,5
64053,8
64054,5
64055,3
64056,9
64057,4
64058,57
64059,17
64060,16
64061,2
64062,2
64063,7
64064,6
64065,9
64066,9
64067,7
64068,14
64069,7
64070,18
64071,3
64072,5
64073,11
64074,16
64075,3
64076,13
64077,30
64078,7
64079,13
64080,12
64081,36
64082,4
64083,23
64084,37
64085,4
64086,2
64087,6
64088,23
64089,16
64090,11
64091,8
64092,14
64093,8
64094,11
64095,9
64096,14
64097,5
64098,11
64099,10
64100,20
64101,7
64102,10
64103,5
64104,5
64105,6
64106,7
64107,12
64108,10
64109,16
64110,19
64111,18
64112,18
64113,15
64114,13
64115,18
64116,9
64117,19
64118,20
64119,8
64120,12
64121,14
64122,18
64123,9
64124,8
64125,3
64126,9
64127,14
64128,25
64129,17
64130,14
64131,25
64132,8
64133,4
64134,13
64135,3
64136,17
64137,12
64138,12
64139,5
64140,9
64141,7
64142,10
64143,8
64144,17
64145,14
64146,6
64147,14
64148,4
64149,14
64150,8
64151,12
64152,15
64153,13
64154,13
64155,22
64156,2
64157,1
64158,13
64159,18
64160,14
64161,22
64162,7
64163,20
64164,11
64165,7
64166,29
64167,2
64168,9
64169,40
64170,14
64171,11
64172,11
64173,29
64174,11
64175,20
64176,14
64177,12
64178,14
64179,12
64180,19
64181,4
64182,6
64183,14
64184,5
64185,11
64186,5
64187,6
64188,13
64189,13
64190,13
64191,8
64192,34
64193,40
64194,24
64195,23
64196,21
64197,24
64198,13
64199,28
64200,19
64201,26
64202,19
64203,22
64204,25
64205,18
64206,23
64207,27
64208,30
64209,10
64210,20
64211,24
64212,13
64213,17
64214,17
64215,11
64216,21
64217,12
64218,25
64219,22
64220,34
64221,17
64222,15
64223,23
64224,3
64225,25
64226,29
64227,17
64228,29
64229,16
64230,20
64231,24
64232,7
64233,48
64234,1
64235,32
64236,13
64237,20
64238,14
64239,9
64240,22
64241,23
64242,11
64243,26
64244,11
64245,4
64246,38
64247,8
64248,2
64249,2
64250,27
64251,28
64252,11
64253,11
64254,2
64255,5
64256,4
64257,11
64258,15
64259,32
64260,22
64261,21
64262,32
64263,11
64264,13
64265,19
64266,12
64267,24
64268,23
64269,30
64270,6
64271,26
64272,14
64273,14
64274,25
64275,19
64276,38
64277,33
64278,27
64279,22
64280,10
64281,30
64282,22
64283,27
64284,12
64285,25
64286,37
64287,34
64288,23
64289,18
64290,28
64291,10
64292,8
64293,19
64294,8
64295,6
64296,23
64297,20
64298,11
64299,12
64300,9
64301,13
64302,12
64303,23
64304,11
64305,0
64306,20
64307,19
64308,34
64309,9
64310,9
64311,3
64312,6
64313,1
64314,7
64315,8
64316,43
64317,13
64318,7
64319,2
64320,1
64321,10
64322,6
64323,14
64324,11
64325,17
64326,14
64327,10
64328,6
64329,6
64330,20
64331,9
64332,11
64333,7
64334,17
64335,9
64336,10
64337,8
64338,6
64339,11
64340,17
64341,10
64342,6
64343,55
64344,6
64345,4
64346,4
64347,26
64348,34
64349,14
64350,14
64351,8
64352,11
64353,24
64354,25
64355,17
64356,22
64357,20
64358,26
64359,17
64360,18
64361,29
64362,36
64363,32
64364,32
64365,37
64366,18
64367,35
64368,18
64369,18
64370,46
64371,17
64372,31
64373,23
64374,15
64375,20
64376,42
64377,15
64378,11
64379,26
64380,31
64381,13
64382,19
64383,27
64384,20
64385,19
64386,24
64387,16
64388,15
64389,23
64390,13
64391,12
64392,24
64393,14
64394,17
64395,8
64396,9
64397,22
64398,5
64399,15
64400,23
64401,11
64402,9
64403,17
64404,8
64405,9
64406,14
64407,10
64408,29
64409,4
64410,15
64411,9
64412,10
64413,22
64414,9
64415,16
64416,22
64417,12
64418,14
64419,9
64420,8
64421,2
64422,6
64423,4
64424,2
64425,1
64426,0
64427,7
64428,6
64429,9
64430,14
64431,2
64432,11
64433,1
64434,21
64435,6
64436,7
64437,14
64438,7
64439,5
64440,6
64441,2
64442,14
64443,11
64444,8
64445,23
64446,5
64447,4
64448,9
64449,5
64450,6
64451,6
64452,24
64453,0
64454,11
64455,8
64456,10
64457,13
64458,24
64459,6
64460,15
64461,18
64462,9
64463,12
64464,8
64465,9
64466,13
64467,15
64468,7
64469,10
64470,6
64471,31
64472,12
64473,18
64474,0
64475,20
64476,18
64477,4
64478,31
64479,8
64480,0
64481,0
64482,5
64483,10
64484,12
64485,17
64486,4
64487,26
64488,18
64489,17
64490,47
64491,38
64492,27
64493,10
64494,29
64495,19
64496,12
64497,13
64498,1
64499,5
64500,19
64501,30
64502,2
64503,14
64504,82
64505,2
64506,4
64507,2
64508,8
64509,2
64510,15
64511,16
64512,0
64513,6
64514,2
64515,15
64516,15
64517,29
64518,6
64519,44
64520,36
64521,5
64522,12
64523,1
64524,11
64525,16
64526,17
64527,24
64528,40
64529,21
64530,40
64531,7
64532,3
64533,24
64534,36
64535,17
64536,7
64537,10
64538,11
64539,30
64540,13
64541,119
64542,158
64543,287
64544,9
64545,13
64546,43
64547,22
64548,10
64549,14
64550,3
64551,3
64552,3
64553,3
64554,29
64555,3
64556,13
64557,25
64558,16
64559,2
64560,4
64561,2
64562,22
64563,36
64564,3
64565,18
64566,28
64567,27
64568,34
64569,39
64570,26
64571,28
64572,23
64573,23
64574,112
64575,53
64576,33
64577,9
64578,207
64579,9
64580,39
64581,25
64582,26
64583,18
64584,54
64585,14
64586,52
64587,16
64588,18
64589,13
64590,44
64591,6
64592,22
64593,47
64594,34
64595,43
64596,42
64597,4
64598,3
64599,51
64600,7
64601,11
64602,10
64603,252
64604,23
64605,61
64606,24
64607,81
64608,96
64609,19
64610,23
64611,19
64612,160
64613,207
64614,130
64615,120
64616,259
64617,17
64618,66
64619,207
64620,109
64621,35
64622,207
64623,55
64624,8
64625,37
64626,20
64627,18
64628,61
64629,36
64630,27
64631,207
64632,44
64633,73
64634,31
64635,58
64636,322
64637,25
64638,66
64639,14
64640,29
64641,79
64642,0
64643,1
64644,2
64645,30
64646,42
64647,40
64648,207
64649,14
64650,9
64651,10
64652,13
64653,37
64654,11
64655,58
64656,66
64657,3
64658,6
64659,458
64660,8
64661,35
64662,109
64663,64
64664,0
64665,0
64666,2
64667,61
64668,2
64669,2
64670,1
64671,2
64672,3
64673,47
64674,3
64675,0
64676,79
64677,2
64678,0
64679,68
64680,0
64681,1
64682,48
64683,4
64684,1
64685,22
64686,50
64687,128
64688,40
64689,299
64690,1
64691,1
64692,1
64693,3
64694,5
64695,2
64696,1
64697,16
64698,1
64699,1
64700,33
64701,109
64702,1
64703,2
64704,82
64705,1
64706,48
64707,3
64708,2
64709,4
64710,39
64711,4
64712,2
64713,7
64714,27
64715,36
64716,44
64717,12
64718,20
64719,30
64720,18
64721,20
64722,20
64723,25
64724,3
64725,3
64726,1
64727,61
64728,31
64729,18
64730,3
64731,35
64732,21
64733,16
64734,13
64735,21
64736,36
64737,22
64738,1
64739,34
64740,21
64741,3
64742,3
64743,42
64744,36
64745,158
64746,6
64747,56
64748,22
64749,26
64750,20
64751,30
64752,141
64753,43
64754,64
64755,67
64756,10
64757,213
64758,53
64759,2
64760,2
64761,1
64762,34
64763,68
64764,0
64765,2
64766,2
64767,64
64768,7
64769,4
64770,2
64771,2
64772,36
64773,22
64774,11
64775,24
64776,49
64777,41
64778,30
64779,68
64780,2
64781,0
64782,6
64783,1
64784,37
64785,1
64786,36
64787,29
64788,0
64789,12
64790,13
64791,13
64792,1
64793,59
64794,188
64795,2
64796,59
64797,3
64798,5
64799,29
64800,24
64801,8
64802,8
64803,4
64804,92
64805,19
64806,43
64807,36
64808,31
64809,23
64810,22
64811,7
64812,107
64813,24
64814,12
64815,10
64816,25
64817,13
64818,170
64819,87
64820,28
64821,25
64822,66
64823,76
64824,10
64825,22
64826,6
64827,63
64828,37
64829,59
64830,42
64831,48
64832,4
64833,7
64834,17
64835,48
64836,9
64837,8
64838,139
64839,3
64840,20
64841,65
64842,91
64843,3
64844,70
64845,5
64846,21
64847,64
64848,123
64849,11
64850,54
64851,7
64852,24
64853,43
64854,130
64855,440
64856,31
64857,53
64858,119
64859,94
64860,4
64861,56
64862,26
64863,415
64864,502
64865,48
64866,64
64867,34
64868,45
64869,16
64870,16
64871,35
64872,41
64873,34
64874,772
64875,11
64876,22
64877,5
64878,66
64879,87
64880,48
64881,40
64882,164
64883,9
64884,209
64885,175
64886,14
64887,3
64888,3
64889,98
64890,5
64891,27
64892,7
64893,77
64894,45
64895,4
64896,87
64897,909
64898,2
64899,46
64900,27
64901,21
64902,13
64903,13
64904,31
64905,47
64906,2
64907,31
64908,32
64909,23
64910,25
64911,27
64912,15
64913,22
64914,57
64915,34
64916,26
64917,36
64918,31
64919,190
64920,374
64921,245
64922,694
64923,54
64924,83
64925,759
64926,44
64927,34
64928,10
64929,26
64930,39
64931,71
64932,7
64933,42
64934,18
64935,13
64936,15
64937,116
64938,108
64939,15
64940,13
64941,25
64942,23
64943,82
64944,498
64945,658
64946,100
64947,19
64948,92
64949,127
64950,520
64951,656
64952,604
64953,26
64954,24
64955,24
64956,30
64957,17
64958,46
64959,43
64960,32
64961,6
64962,20
64963,13
64964,78
64965,66
64966,62
64967,468
64968,517
64969,79
64970,10
64971,9
64972,58
64973,22
64974,77
64975,23
64976,32
64977,58
64978,43
64979,6
64980,8
64981,6
64982,4
64983,5
64984,7
64985,58
64986,11
64987,5
64988,15
64989,21
64990,8
64991,27
64992,10
64993,6
64994,15
64995,5
64996,7
64997,3
64998,4
64999,26
65000,5
65001,31
65002,6
65003,7
65004,1
65005,38
65006,2
65007,1
65008,174
65009,11
65010,105
65011,20
65012,4
65013,21
65014,33
65015,31
65016,13
65017,12
65018,5
65019,27
65020,7
65021,4
65022,7
65023,113
65024,3
65025,8
65026,1
65027,809
65028,3
65029,51
65030,2
65031,5
65032,60
65033,31
65034,0
65035,1
65036,47
65037,40
65038,78
65039,50
65040,4
65041,4
65042,20
65043,2
65044,11
65045,7
65046,12
65047,4
65048,87
65049,4
65050,3
65051,17
65052,3
65053,73
65054,22
65055,6
65056,29
65057,68
65058,36
65059,30
65060,57
65061,31
65062,15
65063,34
65064,23
65065,12
65066,183
65067,158
65068,23
65069,57
65070,5
65071,11
65072,35
65073,31
65074,23
65075,40
65076,19
65077,12
65078,7
65079,15
65080,103
65081,19
65082,113
65083,41
65084,14
65085,19
65086,18
65087,79
65088,10
65089,13
65090,29
65091,45
65092,112
65093,57
65094,37
65095,49
65096,25
65097,29
65098,53
65099,59
65100,63
65101,14
65102,16
65103,2
65104,14
65105,19
65106,64
65107,20
65108,4
65109,83
65110,76
65111,5
65112,28
65113,27
65114,6
65115,56
65116,14
65117,24
65118,3
65119,9
65120,5
65121,4
65122,50
65123,3
65124,71
65125,997
65126,8
65127,7
65128,52
65129,37
65130,48
65131,5
65132,41
65133,8
65134,38
65135,2
65136,9
65137,87
65138,60
65139,143
65140,55
65141,80
65142,9
65143,13
65144,371
65145,98
65146,30
65147,13
65148,14
65149,131
65150,56
65151,8
65152,6
65153,44
65154,44
65155,41
65156,4
65157,12
65158,35
65159,7
65160,368
65161,20
65162,19
65163,65
65164,19
65165,5
65166,49
65167,63
65168,246
65169,33
65170,46
65171,112
65172,12
65173,4
65174,10
65175,34
65176,32
65177,32
65178,75
65179,18
65180,19
65181,45
65182,23
65183,41
65184,6
65185,28
65186,9
65187,9
65188,24
65189,20
65190,35
65191,13
65192,22
65193,7
65194,30
65195,49
65196,115
65197,115
65198,78
65199,36
65200,40
65201,15
65202,12
65203,145
65204,22
65205,7
65206,154
65207,57
65208,91
65209,1638
65210,909
65211,175
65212,9
65213,205
65214,20
65215,36
65216,34
65217,49
65218,7
65219,63
65220,12
65221,113
65222,17
65223,30
65224,6
65225,11
65226,3
65227,40
65228,6
65229,15
65230,13
65231,33
65232,8
65233,4
65234,5
65235,95
65236,46
65237,69
65238,58
65239,102
65240,73
65241,26
65242,85
65243,33
65244,22
65245,37
65246,17
65247,45
65248,23
65249,6
65250,21
65251,43
65252,27
65253,110
65254,53
65255,403
65256,90
65257,1126
65258,154
65259,88
65260,6
65261,14
65262,36
65263,33
65264,21
65265,3
65266,36
65267,13
65268,14
65269,30
65270,29
65271,4
65272,63
65273,120
65274,7
65275,21
65276,15
65277,4
65278,57
65279,434
65280,41
65281,1073
65282,63
65283,53
65284,140
65285,55
65286,2105
65287,62
65288,22
65289,43
65290,6
65291,1593
65292,73
65293,46
65294,24
65295,35
65296,15
65297,174
65298,319
65299,80
65300,8
65301,33
65302,67
65303,88
65304,9
65305,29
65306,36
65307,74
65308,90
65309,40
65310,283
65311,28
65312,50
65313,26
65314,51
65315,33
65316,108
65317,107
65318,6
65319,3
65320,135
65321,373
65322,9
65323,29
65324,94
65325,30
65326,98
65327,44
65328,6
65329,31
65330,54
65331,16
65332,57
65333,8
65334,28
65335,12
65336,34
65337,178
65338,26
65339,73
65340,24
65341,13
65342,34
65343,44
65344,15
65345,33
65346,51
65347,39
65348,9
65349,58
65350,74
65351,46
65352,311
65353,180
65354,65
65355,15
65356,342
65357,94
65358,26
65359,54
65360,96
65361,319
65362,174
65363,30
65364,37
65365,328
65366,37
65367,514
65368,41
65369,3524
65370,1084
65371,220
65372,256
65373,432
65374,131
65375,63
65376,140
65377,157
65378,34
65379,1
65380,34
65381,59
65382,596
65383,63
65384,95
65385,122
65386,132
65387,47
65388,61
65389,141
65390,649
65391,30
65392,52
65393,151
65394,21
65395,72
65396,72
65397,244
65398,15
65399,32
65400,51
65401,70
65402,268
65403,526
65404,64
65405,161
65406,105
65407,89
65408,55
65409,166
65410,52
65411,61
65412,15
65413,144
65414,562
65415,70
65416,73
65417,279
65418,22
65419,135
65420,153
65421,71
65422,26
65423,17
65424,5
65425,133
65426,83
65427,93
65428,100
65429,240
65430,98
65431,31
65432,50
65433,128
65434,98
65435,88
65436,256
65437,46
65438,19
65439,77
65440,189
65441,24
65442,125
65443,17
65444,240
65445,256
65446,154
65447,4
65448,56
65449,40
65450,92
65451,64
65452,15
65453,78
65454,76
65455,62
65456,45
65457,156
65458,75
65459,47
65460,484
65461,153
65462,658
65463,69
65464,55
65465,190
65466,264
65467,222
65468,67
65469,177
65470,229
65471,49
65472,222
65473,183
65474,25
65475,191
65476,114
65477,37
65478,127
65479,272
65480,146
65481,457
65482,462
65483,169
65484,28
65485,615
65486,260
65487,446
65488,95
65489,280
65490,378
65491,317
65492,269
65493,130
65494,239
65495,326
65496,2178
65497,167
65498,520
65499,520
65500,351
65501,78
65502,263
65503,42
65504,17
65505,159
65506,25
65507,113
65508,282
65509,1030
65510,176
65511,501
65512,52
65513,270
65514,212
65515,0
65516,1
65517,0
65518,2
65519,2
65520,0
65521,1
65522,1
65523,0
65524,1
65525,0
65526,0
65527,2
65528,3
65529,2
65530,16
65531,2
65532,0
65533,36
65534,0
65535,0
65536,1
65537,1
65538,3
65539,0
65540,1
65541,33
65542,0
65543,0
65544,3
65545,2
65546,1
65547,6
65548,0
65549,7
65550,1
65551,0
65552,1
65553,1
