,shareCount
1596,0
1597,0
1598,0
1599,0
1600,0
1601,0
1602,0
1603,0
1604,0
1605,0
1606,0
1607,0
1608,0
1609,1
1610,0
1611,0
1612,0
1613,1
1614,2
1615,2
1616,1
1617,0
1618,1
1619,2
1620,0
1621,0
1622,0
1623,0
1624,0
1625,10
1626,1
1627,0
1628,0
1629,0
1630,0
1631,1
1632,1
1633,1
1634,0
1635,0
1636,0
1637,0
1638,3
1639,0
1640,0
1641,0
1642,1
1643,0
1644,1
1645,1
1646,0
1647,0
1648,0
1649,0
1650,0
1651,0
1652,0
1653,1
1654,1
1655,2
1656,0
1657,0
1658,0
1659,0
1660,0
1661,0
1662,0
1663,0
1664,1
1665,0
1666,2
1667,0
1668,0
1669,2
1670,0
1671,0
1672,0
1673,0
1674,1
1675,0
1676,3
1677,2
1678,2
1679,3
1680,0
1681,0
1682,0
1683,3
1684,1
1685,0
1686,4
1687,1
1688,1
1689,1
1690,2
1691,1
1692,0
1693,0
1694,0
1695,0
1696,0
1697,0
1698,2
1699,0
1700,2
1701,1
1702,0
1703,3
1704,0
1705,0
1706,2
1707,2
1708,0
1709,1
1710,2
1711,0
1712,1
1713,0
1714,0
1715,0
1716,0
1717,0
1718,0
1719,0
1720,0
1721,0
1722,0
1723,0
1724,0
1725,0
1726,0
1727,0
1728,0
1729,0
1730,0
1731,1
1732,0
1733,0
1734,0
1735,0
1736,0
1737,0
1738,0
1739,0
1740,1
1741,0
1742,0
1743,1
1744,1
1745,1
1746,0
1747,1
1748,2
1749,0
1750,0
1751,0
1752,2
1753,2
1754,1
1755,0
1756,0
1757,0
1758,0
1759,0
1760,0
1761,17
1762,0
1763,0
1764,0
1765,1
1766,0
1767,0
1768,0
1769,0
1770,0
1771,0
1772,0
1773,0
1774,1
1775,0
1776,0
1777,3
1778,1
1779,0
1780,0
1781,1
1782,0
1783,1
1784,0
1785,1
1786,2
1787,1
1788,0
1789,2
1790,0
1791,0
1792,0
1793,0
1794,0
1795,0
1796,0
1797,0
1798,0
1799,1
1800,2
1801,0
1802,0
1803,0
1804,0
1805,1
1806,0
1807,0
1808,0
1809,2
1810,0
1811,0
1812,0
1813,0
1814,0
1815,0
1816,0
1817,0
1818,0
1819,1
1820,0
1821,0
1822,0
1823,0
1824,0
1825,0
